Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,11.116,48.85265700483092,2022-05-12,2024-05-31,-37.73665700483092
BVH,-3.0700000000000003,-10.120240480961924,2022-05-12,2024-05-31,7.050240480961923
CTG,18.345,42.60169870362092,2022-05-12,2024-05-31,-24.25669870362092
FPT,20.071,103.03930131004367,2022-05-12,2024-05-31,-82.96830131004367
GAS,-9.683,-3.1087456150961654,2022-05-12,2024-05-31,-6.574254384903835
HPG,16.476,8.662613981762918,2022-05-12,2024-05-31,7.813386018237081
MBB,6.764,22.673434856175973,2022-05-12,2024-05-31,-15.909434856175974
MSN,-29.160000000000004,-25.875749951616022,2022-05-12,2024-05-31,-3.2842500483839814
SHB,15.551799999999998,13.043478260869565,2022-05-12,2024-05-31,2.5083217391304338
SSI,6.462,54.70352206865805,2022-05-12,2024-05-31,-48.24152206865806
STB,-8.535,26.879271070615037,2022-05-12,2024-05-31,-35.41427107061504
VCB,3.145,33.74233128834356,2022-05-12,2024-05-31,-30.597331288343558
VIC,-42.065000000000005,-44.87341772151899,2022-05-12,2024-05-31,2.8084177215189854
VNM,-1.677,9.200200367340123,2022-05-12,2024-05-31,-10.877200367340123
