Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,0.0,48.85265700483092,2022-05-12,2024-05-31,-48.85265700483092
BVH,3.604,-10.120240480961924,2022-05-12,2024-05-31,13.724240480961925
CTG,54.888000000000005,42.60169870362092,2022-05-12,2024-05-31,12.286301296379087
FPT,16.695,103.03930131004367,2022-05-12,2024-05-31,-86.34430131004368
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,10.67,-25.875749951616022,2022-05-12,2024-05-31,36.545749951616024
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
SSI,61.39,54.70352206865805,2022-05-12,2024-05-31,6.686477931341948
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,17.814,33.74233128834356,2022-05-12,2024-05-31,-15.928331288343557
VIC,0.0,-44.87341772151899,2022-05-12,2024-05-31,44.87341772151899
VNM,-7.16,9.200200367340123,2022-05-12,2024-05-31,-16.360200367340124
