Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,33.11,48.85265700483092,2022-05-12,2024-05-31,-15.742657004830917
BVH,0.0,-10.120240480961924,2022-05-12,2024-05-31,10.120240480961924
CTG,20.323,42.60169870362092,2022-05-12,2024-05-31,-22.27869870362092
FPT,48.059000000000005,103.03930131004367,2022-05-12,2024-05-31,-54.980301310043664
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,0.0,-25.875749951616022,2022-05-12,2024-05-31,25.875749951616022
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
SSI,-1.9949999999999999,54.70352206865805,2022-05-12,2024-05-31,-56.69852206865805
STB,-5.455,26.879271070615037,2022-05-12,2024-05-31,-32.33427107061504
VCB,0.0,33.74233128834356,2022-05-12,2024-05-31,-33.74233128834356
VIC,43.24,-44.87341772151899,2022-05-12,2024-05-31,88.113417721519
VNM,0.0,9.200200367340123,2022-05-12,2024-05-31,-9.200200367340123
