Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,32.875,48.85265700483092,2022-05-12,2024-05-31,-15.977657004830917
BVH,0.0,-10.120240480961924,2022-05-12,2024-05-31,10.120240480961924
CTG,9.964,42.60169870362092,2022-05-12,2024-05-31,-32.63769870362092
FPT,100.804,103.03930131004367,2022-05-12,2024-05-31,-2.235301310043667
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,0.0,-25.875749951616022,2022-05-12,2024-05-31,25.875749951616022
SHB,3.856,13.043478260869565,2022-05-12,2024-05-31,-9.187478260869565
SSI,-1.9949999999999999,54.70352206865805,2022-05-12,2024-05-31,-56.69852206865805
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,26.518000000000004,33.74233128834356,2022-05-12,2024-05-31,-7.224331288343553
VIC,18.834999999999997,-44.87341772151899,2022-05-12,2024-05-31,63.708417721518984
VNM,0.0,9.200200367340123,2022-05-12,2024-05-31,-9.200200367340123
