Ticker,Profit(%),Growth(%),Start,End,Difference(%)
ACB,0.0,48.85265700483092,2022-05-12,2024-05-31,-48.85265700483092
BVH,0.076,-10.120240480961924,2022-05-12,2024-05-31,10.196240480961924
CTG,17.893,42.60169870362092,2022-05-12,2024-05-31,-24.708698703620918
FPT,11.663,103.03930131004367,2022-05-12,2024-05-31,-91.37630131004367
GAS,-0.612,-3.1087456150961654,2022-05-12,2024-05-31,2.4967456150961653
HPG,0.0,8.662613981762918,2022-05-12,2024-05-31,-8.662613981762918
MBB,0.0,22.673434856175973,2022-05-12,2024-05-31,-22.673434856175973
MSN,-6.5414,-25.875749951616022,2022-05-12,2024-05-31,19.334349951616023
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
SSI,95.732,54.70352206865805,2022-05-12,2024-05-31,41.028477931341946
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
VCB,-4.82,33.74233128834356,2022-05-12,2024-05-31,-38.56233128834356
VIC,0.0,-44.87341772151899,2022-05-12,2024-05-31,44.87341772151899
VNM,0.0,9.200200367340123,2022-05-12,2024-05-31,-9.200200367340123
