Ticker,Profit(%),Growth(%),Start,End,Difference(%)
HDB,2.788,66.7662434652726,2023-02-27,2024-05-31,-63.9782434652726
MBB,23.352999999999998,22.673434856175973,2022-05-12,2024-05-31,0.6795651438240249
SSB,-0.988,-13.284470911589555,2023-10-13,2024-05-31,12.296470911589555
SHB,0.0,13.043478260869565,2022-05-12,2024-05-31,-13.043478260869565
STB,0.0,26.879271070615037,2022-05-12,2024-05-31,-26.879271070615037
TCB,70.625,82.45341614906833,2023-03-24,2024-05-31,-11.828416149068332
TPB,-0.3708,10.56020605280103,2023-03-16,2024-05-31,-10.931006052801031
VCB,31.041,33.74233128834356,2022-05-12,2024-05-31,-2.7013312883435567
VIB,0.0,42.452107279693486,2022-12-13,2024-05-31,-42.452107279693486
VPB,0.84,3.329506314580941,2023-01-30,2024-05-31,-2.4895063145809413
HPG,66.49000000000001,8.662613981762918,2022-05-12,2024-05-31,57.82738601823709
GVR,14.124999999999998,139.2784206943499,2023-03-13,2024-05-31,-125.1534206943499
MSN,-12.1,-25.875749951616022,2022-05-12,2024-05-31,13.775749951616023
VNM,-4.183,9.200200367340123,2022-05-12,2024-05-31,-13.383200367340123
SAB,-28.308,-31.59044037365037,2022-12-05,2024-05-31,3.2824403736503704
VJC,18.73,-3.7735849056603774,2022-12-20,2024-05-31,22.50358490566038
MWG,8.741999999999999,-18.716990854051268,2022-06-16,2024-05-31,27.458990854051265
PLX,20.197000000000003,37.63007720711648,2022-12-28,2024-05-31,-17.433077207116476
FPT,99.251,103.03930131004367,2022-05-12,2024-05-31,-3.788301310043664
SSI,109.172,54.70352206865805,2022-05-12,2024-05-31,54.468477931341944
BCM,-15.104000000000001,-26.63207433329311,2023-03-07,2024-05-31,11.52807433329311
VHM,-23.375,-14.427312775330398,2023-03-21,2024-05-31,-8.947687224669602
SSI,109.172,54.70352206865805,2022-05-12,2024-05-31,54.468477931341944
BCM,-15.104000000000001,-26.63207433329311,2023-03-07,2024-05-31,11.52807433329311
VHM,-23.375,-14.427312775330398,2023-03-21,2024-05-31,-8.947687224669602
VIC,12.655,-44.87341772151899,2022-05-12,2024-05-31,57.52841772151899
VRE,16.675,-22.321428571428573,2023-02-14,2024-05-31,38.996428571428574
BVH,18.637999999999998,-10.120240480961924,2022-05-12,2024-05-31,28.758240480961923
POW,-6.29,-3.076923076923077,2023-03-09,2024-05-31,-3.213076923076923
GAS,0.0,-3.1087456150961654,2022-05-12,2024-05-31,3.1087456150961654
ACB,92.321,59.65025906735752,2022-05-13,2024-05-31,32.67074093264248
BID,71.822,54.072620215897935,2022-05-17,2024-05-31,17.749379784102068
CTG,0.0,42.60169870362092,2022-05-12,2024-05-31,-42.60169870362092
